City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
117,Norsup,VU,2021-12-26 19:32:08,-16.0667,167.3833,82.51,77,13,3.38
118,Lebu,CL,2021-12-26 19:32:08,-37.6167,-73.65,63.41,70,4,18.99
119,Inhambane,MZ,2021-12-26 19:32:09,-23.865,35.3833,80.58,78,40,6.91
120,Saldanha,ZA,2021-12-26 19:32:09,-33.0117,17.9442,64.45,87,0,5.77
121,Santo Domingo,DO,2021-12-26 19:28:02,18.5001,-69.9886,85.93,67,75,3.0
122,Sao Filipe,CV,2021-12-26 19:32:10,14.8961,-24.4956,77.49,63,0,10.85
123,Fare,PF,2021-12-26 19:32:10,-16.7,-151.0167,80.56,67,92,9.08
124,Port Elizabeth,ZA,2021-12-26 19:29:16,-33.918,25.5701,71.1,94,0,3.44
125,Upington,ZA,2021-12-26 19:30:31,-28.4478,21.2561,79.18,38,68,16.11
126,Palauig,PH,2021-12-26 19:32:11,15.435,119.9045,75.85,80,100,3.15
127,Itoman,JP,2021-12-26 19:32:11,26.1247,127.6694,59.02,63,75,19.57
128,Kitami,JP,2021-12-26 19:30:24,43.8031,143.8908,19.11,71,71,12.08
129,Burpengary,AU,2021-12-26 19:32:12,-27.1575,152.9576,71.85,93,99,4.03
130,Nyuksenitsa,RU,2021-12-26 19:33:12,60.4128,44.2397,12.47,93,100,7.83
131,Tucuman,AR,2021-12-26 19:30:18,-26.8241,-65.2226,91.4,38,0,5.75
132,Lenoir,US,2021-12-26 19:33:12,35.2335,-77.6497,75.49,46,1,9.22
133,Tutoia,BR,2021-12-26 19:33:13,-2.7619,-42.2744,87.78,71,95,9.55
134,Salinas,US,2021-12-26 19:30:22,36.6777,-121.6555,53.82,70,90,13.8
135,Bay Roberts,CA,2021-12-26 19:33:13,47.5999,-53.2648,34.34,85,88,1.99
136,East London,ZA,2021-12-26 19:33:14,-33.0153,27.9116,73.87,63,100,11.61
137,Vestmanna,FO,2021-12-26 19:33:14,62.1564,-7.1664,38.32,81,75,16.11
138,Klaksvik,FO,2021-12-26 19:33:14,62.2266,-6.589,40.12,80,100,25.52
139,Austin,US,2021-12-26 19:32:25,30.2672,-97.7431,77.27,77,90,4.61
140,Rengo,CL,2021-12-26 19:33:15,-34.4167,-70.8667,92.23,12,72,9.4
141,Nikolskoye,RU,2021-12-26 19:33:15,59.7035,30.7861,7.81,91,96,8.39
142,Sisimiut,GL,2021-12-26 19:33:16,66.9395,-53.6735,19.18,69,20,5.41
143,Umm Lajj,SA,2021-12-26 19:33:16,25.0213,37.2685,69.21,50,52,10.07
144,Chokurdakh,RU,2021-12-26 19:33:16,70.6333,147.9167,-22.47,99,99,6.35
145,Makakilo City,US,2021-12-26 19:29:56,21.3469,-158.0858,74.28,68,1,3.44
146,Riyadh,SA,2021-12-26 19:30:02,24.6877,46.7219,50.14,58,6,5.06
147,Vaini,TO,2021-12-26 19:33:17,-21.2,-175.2,80.76,83,75,3.44
148,Bengkulu,ID,2021-12-26 19:32:01,-3.8004,102.2655,74.57,92,91,5.1
149,Tasiilaq,GL,2021-12-26 19:33:17,65.6145,-37.6368,19.56,57,0,5.48
150,Kazachinskoye,RU,2021-12-26 19:33:17,57.6953,93.2761,-10.05,99,80,0.85
151,Porto Walter,BR,2021-12-26 19:33:18,-8.2686,-72.7439,90.12,51,100,4.85
152,Miri,MY,2021-12-26 19:33:18,4.4148,114.0089,77.14,94,40,2.3
153,Pangkalanbuun,ID,2021-12-26 19:33:19,-2.6833,111.6167,74.75,97,100,2.44
154,Ekhabi,RU,2021-12-26 19:33:19,53.5102,142.9671,3.0,91,100,23.71
155,Dejen,ET,2021-12-26 19:33:19,10.1667,38.1333,62.87,30,83,2.51
156,Mount Gambier,AU,2021-12-26 19:33:20,-37.8333,140.7667,55.31,67,90,13.8
157,Hella,NO,2021-12-26 19:33:20,67.2,14.4333,18.05,73,0,14.97
158,Cascais,PT,2021-12-26 19:33:21,38.6979,-9.4215,62.17,87,75,8.01
159,Oktyabrskiy,RU,2021-12-26 19:33:21,54.4815,53.471,-1.16,100,100,3.83
160,Marawi,PH,2021-12-26 19:33:21,7.9986,124.2928,65.64,96,100,0.89
161,Hamilton,US,2021-12-26 19:30:22,39.1834,-84.5333,55.65,56,1,1.99
162,Mar Del Plata,AR,2021-12-26 19:29:11,-38.0023,-57.5575,66.87,78,0,8.99
163,Severo-Kurilsk,RU,2021-12-26 19:33:22,50.6789,156.125,28.83,81,100,26.89
164,Ust-Omchug,RU,2021-12-26 19:33:22,61.15,149.6333,-35.18,99,42,6.29
165,Mursan,IN,2021-12-26 19:33:22,27.5833,77.9333,60.24,53,100,7.34
166,Naze,JP,2021-12-26 19:33:23,28.3667,129.4833,50.94,68,100,15.23
167,Te Anau,NZ,2021-12-26 19:33:23,-45.4167,167.7167,53.6,89,100,2.75
168,Puerto Colombia,CO,2021-12-26 19:33:23,10.9878,-74.9547,89.69,76,61,18.43
169,Pokosnoye,RU,2021-12-26 19:33:24,55.5258,101.0536,-11.38,97,100,2.64
