City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
121,Chulman,RU,56.8479,124.9104,-9.78,96,100,8.7,overcast clouds
122,Avera,US,33.194,-82.5271,36.91,45,0,11.01,clear sky
123,Lalin,ES,42.7167,-8.1167,51.76,83,98,8.5,overcast clouds
124,Batticaloa,LK,7.7102,81.6924,78.39,83,60,10.42,broken clouds
125,Naze,JP,28.3667,129.4833,61.23,73,96,13.04,overcast clouds
126,Bridgetown,BB,13.1,-59.6167,84.69,58,40,24.16,scattered clouds
127,Evensk,RU,61.95,159.2333,17.42,68,100,14.74,overcast clouds
128,Paranaiba,BR,-19.6772,-51.1908,82.49,61,88,5.06,overcast clouds
129,Portland,US,45.5234,-122.6762,42.78,91,100,1.99,overcast clouds
130,Coquimbo,CL,-29.9533,-71.3436,65.93,72,75,6.91,broken clouds
131,Nikolskoye,RU,59.7035,30.7861,11.8,95,100,5.3,light snow
132,Carnarvon,AU,-24.8667,113.6333,75.27,73,75,21.85,broken clouds
133,Kamina,CD,-8.7386,24.9906,75.09,85,47,3.76,light rain
134,Altay,CN,47.8667,88.1167,13.91,76,53,6.8,broken clouds
135,Fortuna,US,40.5982,-124.1573,40.19,96,20,1.01,few clouds
136,Mar Del Plata,AR,-38.0023,-57.5575,80.62,84,0,15.99,clear sky
137,Tlacote El Bajo,MX,20.65,-100.5,54.84,56,10,3.09,clear sky
138,Zhigansk,RU,66.7697,123.3711,-38.0,100,56,5.14,broken clouds
139,Praya,CV,14.9215,-23.5087,77.54,57,75,24.16,broken clouds
140,The Pas,CA,53.8251,-101.2541,-11.18,77,100,8.05,light snow
141,Barrow,US,71.2906,-156.7887,-18.38,76,0,5.75,clear sky
142,Kushiro,JP,42.975,144.3747,26.33,86,46,6.29,scattered clouds
143,Lebu,CL,-37.6167,-73.65,64.72,79,100,11.86,overcast clouds
144,Manavalakurichi,IN,8.1333,77.3,84.29,77,49,7.07,scattered clouds
145,Mount Gambier,AU,-37.8333,140.7667,57.11,82,100,9.22,overcast clouds
